SIFARNIK,AOP,column_name,metric_label_hr,metric_label_en,metric_label_de,VRSTA,exists_in_db_afs
61,131,b131,POSLOVNI RASHODI (AOP 132+133+137+141+142+143+146+153),OPERATING EXPENSES (EDV 132 + 133 + 137 + 141 + 142 + 143 + 146 + 153),BETRIEBSAUFWÄNDE (EDP 132 + 133 + 137 + 141 + 142 + 143 + 146 + 153),00,1
61,132,b132,Promjene vrijednosti zaliha proizvodnje u tijeku i gotovih proizvoda,Changes to value of current production and finished product inventories,"Änderungen des Wertes der Vorräte der Produktion, die im Gange ist, und der Fertigprodukte",00,1
61,133,b133,Materijalni troškovi (AOP 134 do 136),Material costs (EDV 134 to 136),Materialaufwände (EDP 134 bis 136),00,1
61,134,b134,Troškovi sirovina i materijala,Cost of raw materials and materials,Rohstoffe und Materialaufwände,00,1
61,135,b135,Troškovi prodane robe,Cost of sales,Umsatzkosten,00,1
61,136,b136,Ostali vanjski troškovi,Other external costs,Sonstige Fremdkosten,00,1
61,137,b137,Troškovi osoblja (AOP 138 do 140),Staff cost (EDV 138 to 140),Personalaufwände (EDP 138 bis 140),00,1
61,138,b138,Neto plaće i nadnice,Net salaries and wages,Nettogehälter und - Löhne,00,1
61,139,b139,Troškovi poreza i doprinosa iz plaća,Contributions and taxes from salary,Aufwände von Steuern und Arbeitnehmeranteilen,00,1
61,140,b140,Doprinosi na plaće,Contributions on salary,Arbeitgeberanteile,00,1
61,141,b141,Amortizacija,Depreciation,Abschreibung,00,1
61,142,b142,Ostali troškovi,Other costs,Sonstige Aufwände,00,1
61,143,b143,Vrijednosna usklađenja (AOP 144+145),Value reconciliation (EDV 144 + 145),Wertberichtigung (EDP 144 + 145),00,1
61,144,b144,dugotrajne imovine osim financijske imovine,fixed assets (apart from financial assets),von Anlagevermögen (außer Finanzvermögen),00,1
61,145,b145,kratkotrajne imovine osim financijske imovine,current assets (apart from financial assets),von Umlaufvermögen (außer Finanzvermögen),00,1
61,146,b146,Rezerviranja (AOP 147 do 152),Provisions (EDV 147 to 152),Rückstellungen (EDP 147 bis 152),00,1
61,147,b147,"Rezerviranja za mirovine, otpremnine i slične obveze","Provisions for pensions, severance pays and similar liabilities","Rückstellungen für Pensionen, Abfindungen und ähnliche Verpflichtungen",00,1
61,148,b148,Rezerviranja za porezne obveze,Provisions for tax liabilities,Rückstellungen für Steuerverbindlichkeiten,00,1
61,149,b149,Rezerviranja za započete sudske sporove,Provisions for commenced litigation,Rückstellungen für anhängige Gerichtsverfahren,00,1
61,150,b150,Rezerviranja za troškove obnavljanja prirodnih bogatstava,Provisions for costs of restoration of natural resources,Rückstellungen für Kosten der Erneuerung von Naturressourcen,00,1
61,151,b151,Rezerviranja za troškove u jamstvenim rokovima,Provisions for costs within warranty periods,Rückstellungen für Kosten innerhalb der Gewährleistungsfristen,00,1
61,152,b152,Druga rezerviranja,Other provisions,Sonstige Rückstellungen,00,1
61,153,b153,Ostali poslovni rashodi,Other operating expenses,Sonstige Betriebsaufwände,00,1
61,154,b154,FINANCIJSKI PRIHODI (AOP 155 do 164),FINANCIAL INCOME (EDV 155 to 164),FINANZERTRÄGE (EDP 155 bis 164),00,1
61,155,b155,Prihodi od ulaganja u udjele (dionice) poduzetnika unutar grupe,Proceeds from investment in shares (stocks) of entities within a group,Erträge aus Investitionen in Anteile (Aktien) verbundener Unternehmen,00,1
61,156,b156,Prihodi od ulaganja u udjele (dionice) društava povezanih sudjelujućim interesima,Proceeds from investment in shares (stocks) companies linked by virtue of participating interest,"Erträge aus Investitionen in Anteile (Aktien) von Gesellschaften, mit denen ein Beteiligungsverhältnis besteht",00,1
61,157,b157,Prihodi od ostalih dugotrajnih financijskih ulaganja i zajmova poduzetnicima unutar grupe,"Proceeds from other long - term financial investments and loans
to entities within a group",Erträge aus sonstigen langfristigen Finanzinvestitionen und Darlehen an verbundene Unternehmen,00,1
61,158,b158,Ostali prihodi s osnove kamata iz odnosa s poduzetnicima unutar grupe,Other proceeds from interests from relationships with entities within a group,Sonstige Zinserträge aus Beziehungen mit verbundenen Unternehmen,00,1
61,159,b159,Tečajne razlike i ostali financijski prihodi iz odnosa s poduzetnicima unutar grupe,Foreign exchange differences and other financial proceeds from relationships with entities within a group,Währungskursdifferenzen und sonstige Finanzerträge aus Beziehungen mit verbundenen Unternehmen,00,1
61,160,b160,Prihodi od ostalih dugotrajnih financijskih ulaganja i zajmova,Proceeds from other long - term financial investments and loans,Erträge aus sonstigen langfristigen Finanzinvestitionen und Darlehen,00,1
61,161,b161,Ostali prihodi s osnove kamata,Other proceeds from interests,Sonstige Zinserträge,00,1
61,162,b162,Tečajne razlike i ostali financijski prihodi,Foreign exchange differences and other financial proceeds,Währungskursdifferenzen und sonstige Finanzerträge,00,1
61,163,b163,Nerealizirani dobici (prihodi) od financijske imovine,Unrealised gain (income),Nicht realisierter Gewinn (Erträge),00,1
61,164,b164,Ostali financijski prihodi,Other financial income,Sonstiger Finanzerträge,00,1
61,165,b165,FINANCIJSKI RASHODI (AOP 166 do 172),FINANCIAL EXPENSES (EDV 166 to 172),FINANZAUFWÄNDE (EDP 166 bis 172),00,1
61,166,b166,Rashodi s osnove kamata i slični rashodi s poduzetnicima unutar grupe,Interest expense and similar expenses from entities within a group,Zinsaufwendungen und ähnliche Aufwendungen mit verbundenen Unternehmen,00,1
61,167,b167,Tečajne razlike i drugi rashodi s poduzetnicima unutar grupe,Foreign exchange differences and other expenses of entities within a group,Währungskursdifferenzen und sonstige Aufwendungen mit verbundenen Unternehmen,00,1
61,168,b168,Rashodi s osnove kamata i slični rashodi,Interest expense and similar expenses,Zinsaufwendungen und ähnliche Aufwendungen,00,1
61,169,b169,Tečajne razlike i drugi rashodi,Foreign exchange differences and other expenses,Währungskursdifferenzen und sonstige Aufwendungen,00,1
61,170,b170,Nerealizirani gubici (rashodi) od financijske imovine,Unrealised losses (expenses) of financial assets,Nicht realisierter Verlust (Aufwände) des Finanzvermögens,00,1
61,171,b171,Vrijednosna usklađenja financijske imovine (neto),Value adjustments of financial assets (net),Wertberichtigungen auf Finanzanlagen (netto),00,1
61,172,b172,Ostali financijski rashodi,Other financial expenses,Sonstige Finanzaufwände,00,1
61,173,b173,UDIO U DOBITI OD DRUŠTAVA POVEZANIH SUDJELUJUĆIM INTERESOM,SHARE IN PROFIT OF COMPANIES LINKED BY VIRTUE OF PARTICIPATING INTEREST,"GEWINNANTEIL BEI GESELLSCHAFTEN, MIT DENEN EIN BETEILIGUNGSVERHÄLTNIS BESTEHT",00,1
61,174,b174,UDIO U DOBITI OD ZAJEDNIČKIH POTHVATA,SHARE IN JOINT VENTURES' PROFIT,GEWINNANTEIL BEI JOINT VENTURES,00,1
61,175,b175,UDIO U GUBITKU OD DRUŠTAVA POVEZANIH SUDJELUJUĆIM INTERESOM,SHARE IN LOSS OF COMPANIES LINKED BY VIRTUE OF PARTICIPATING INTEREST,"VERLUSTANTEIL BEI GESELLSCHAFTEN, MIT DENEN EIN BETEILIGUNGSVERHÄLTNIS BESTEHT",00,1
61,176,b176,UDIO U GUBITKU OD ZAJEDNIČKIH POTHVATA,SHARE IN JOINT VENTURES LOSS,VERLUSTANTEIL BEI JOINT VENTURES,00,1
